各地卫视,#genre#
洛阳直播,http://www.dsk.cc/hntv/lytv.html?id=http://wshlslive.migucloud.com/live/6AL7GTQX_C0/playlist.m3u8
许昌线路,http://live.s23.net:2017/live/xctv1hd.stream_1080p/playlist.m3u8
信阳m3u8,http://rtmp.xytv.cn/live/514f8a62d467.m3u8
周口线路,http://125.44.139.18:8081/live/6520562530090312540.m3u8
周口线路2,http://117.159.72.12:8081/live/6520562530090312540.m3u8
周口公共线路,http://125.44.139.18:8081/live/8606202505932165833.m3u8
周口公共线路2,http://117.159.72.12:8081/live/8606202505932165833.m3u8
周口教育线路,http://125.44.139.18:8081/live/2548854934748691151.m3u8
周口教育线路2,http://117.159.72.12:8081/live/2548854934748691151.m3u8
驻马店新闻综合,http://p2hs.vzan.com/slowlive/856224149274600376/live.m3u8
驻马店新闻综合2,http://pull-hsbj.vzan.com/v/slowlive_856224149274600376.m3u8
驻马店科教,http://p2hs.vzan.com/slowlive/321018633543177422/live.m3u8
驻马店科教2,http://pull-hsbj.vzan.com/v/slowlive_321018633543177422.m3u8
遂平综合,http://tvpull.dxhmt.cn:9081/tv/11728-1.m3u8
西平综合,http://tvpull.dxhmt.cn:9081/tv/11721-1.m3u8
睛彩中原.http://live.dxhmt.cn:9080/19903718786/854deb36f8db4c9098cad18cc35bd632.m3u8
武术世界,http://live.dxhmt.cn:9080/live/yshnpre.m3u8
梨园频道,http://live.dxhmt.cn:9080/19903718786/3159ec673c114135816d45dd52ad7396.m3u8
文物宝库,http://live.dxhmt.cn:9080/19903718786/503136115d714e6796389709a5c74f77.m3u8
移动戏曲,http://live.dxhmt.cn:9080/19903718786/a9aab4c5eef74da18d684c75c6dd7e10.m3u8
安阳新闻综合,http://zhpull.dxhmt.cn/anyang/7e3b40563af54e2f9f48e2c67c5d9fab/playlist.m3u8
临颖综合,http://tvpull.dxhmt.cn:9081/tv/11122-1.m3u8

其他地方,#genre#
攸县电视台,http://liveplay-srs.voc.com.cn/hls/tv/158_423c80.m3u8
长沙县新闻综合,http://xsds.b.dingtoo.com/AppName/StreamName.m3u8
茶陵新闻综合,http://liveplay-nanyue.rednet.cn/live/chaling-telev.m3u8
湘潭新闻综合,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
湘潭县电视台,http://liveplay-nanyue.rednet.cn/live/xiangtanxian_tv.m3u8
衡东电视台,http://liveplay-srs.voc.com.cn/hls/tv/180_60f888.m3u8
耒阳电视台,http://liveplay-srs.voc.com.cn/hls/tv/27_e9e1e5.m3u8
南岳电视台,http://liveplay-nanyue.rednet.cn/live/nanyue_03f74.m3u8
安化综合,http://liveplay-srs.voc.com.cn/hls/tv/204_16cb0f.m3u8
桂东融媒,https://liveplay-srs.voc.com.cn/hls/tv/174_6ab9f8.m3u8
桂阳综合,https://liveplay-srs.voc.com.cn/hls/tv/7_7c833e.m3u8
嘉禾新闻综合,https://liveplay-srs.voc.com.cn/hls/tv/184_e3af1a.m3u8
临武综合,https://liveplay-srs.voc.com.cn/hls/tv/148_feda2f.m3u8
汝城台,https://liveplay-srs.voc.com.cn/hls/tv/149_40cf24.m3u8
永兴新闻综合,https://liveplay-srs.voc.com.cn/hls/tv/40_1d0ed0.m3u8



CHC,#genre#
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国电影频道,https://live.tvfix.org/live/cmc/index.m3u8
CHC影迷电影,http://39.164.174.139:5000/nl.m3u8?id=CHCYMDYHD
CHC家庭影院,http://39.164.174.139:5000/nl.m3u8?id=CHCJTYYHD
CHC动作电影,http://39.164.174.139:5000/nl.m3u8?id=CHCDZDYHD
