# https://lysvc.cc/tools/m3u_txt_change.php
# https://live.fanmingming.com/txt2m3u/

央视频道,#genre#
CCTV4,http://110.253.49.92:8686/rtp/239.253.92.251:6141
CCTV4,http://49.85.119.109:8887/rtp/239.49.8.51:9806
CCTV4,http://121.232.159.212:8188/rtp/239.49.8.51:9806
CCTV4,http://117.86.51.89:8888/rtp/239.49.8.51:9806
CCTV4,http://115.197.136.82:8888/rtp/233.50.200.101:5140
CCTV4,http://115.207.208.222:8881/rtp/233.50.200.101:5140
CCTV4,http://202.111.192.14:5146/rtp/238.1.78.236:7760
CCTV4,http://171.109.20.22:4566/rtp/239.81.0.96:4056
CCTV4,http://180.140.176.179:40222/rtp/239.81.0.96:4056
CCTV4,http://116.9.4.13:4000/rtp/239.81.0.96:4056
CCTV4,http://14.145.217.126:8888/rtp/239.77.0.78:5146
CCTV4,http://14.145.217.126:8888/rtp/239.77.0.174:5146
CCTV4,http://14.145.217.126:8888/rtp/239.77.0.194:5146
CCTV4,http://14.145.217.126:8888/rtp/239.77.1.163:5146
CCTV4,http://14.145.217.126:8888/rtp/239.77.1.180:5146
CCTV4,http://182.138.203.83:8888/rtp/239.93.1.105:5140
CCTV4,http://222.212.84.190:54123/rtp/239.93.1.105:5140
CCTV4,http://112.193.68.253:8888/rtp/239.0.0.13:5140
CCTV4K,http://112.193.68.253:8888/rtp/239.0.0.184:5140
CCTV4欧洲,http://111.193.239.245:9999/rtp/239.3.1.213:4220
CCTV4欧洲,http://220.169.109.72:802/rtp/239.76.253.95:9000
CCTV4美洲,http://124.65.0.27:20000/rtp/239.3.1.214:4220
CCTV4美洲,http://111.193.239.245:9999/rtp/239.3.1.214:4220
CCTV4美洲,http://171.116.192.34:8085/rtp/226.0.2.109:9124
cctv5,http://119.49.221.50:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV5,http://139.209.37.241:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://60.187.246.93:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://123.159.35.24:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://119.163.61.26:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://58.19.38.162:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://124.65.0.27:20000/rtp/239.3.1.173:8001
CCTV5,http://111.193.239.245:9999/rtp/239.3.1.173:8001
CCTV5,http://123.174.106.183:8888/rtp/239.1.1.11:8011
CCTV5,http://121.27.124.21:3488/rtp/239.253.92.181:6046
CCTV5,http://121.29.169.49:2083/rtp/239.253.92.181:6046
CCTV5,http://49.85.119.109:8887/rtp/239.49.8.75:8000
CCTV5,http://121.232.159.212:8188/rtp/239.49.8.75:8000
CCTV5,http://117.86.51.89:8888/rtp/239.49.8.75:8000
CCTV5,http://202.111.192.14:5146/rtp/238.1.78.171:7240
CCTV5,http://202.102.201.244:40022/rtp/238.1.78.171:7240
CCTV5,http://171.109.20.22:4566/rtp/239.81.0.232:4056
CCTV5,http://180.140.176.179:40222/rtp/239.81.0.232:4056
CCTV5,http://116.9.4.13:4000/rtp/239.81.0.232:4056
CCTV5,http://14.145.217.126:8888/rtp/239.77.0.170:5146
CCTV5,http://14.145.217.126:8888/rtp/239.253.43.121:5146
CCTV5,http://112.193.68.253:8888/rtp/239.0.0.14:5140
cctv5+,http://119.49.221.50:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5+,http://139.209.37.241:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://119.163.61.26:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV5+,http://60.26.183.69:6843/rtp/225.1.1.121:5002
CCTV5+,http://111.167.220.229:8086/rtp/225.1.1.121:5002
CCTV5+,http://1.70.182.81:61201/rtp/239.1.1.12:8012
CCTV5+,http://123.174.106.183:8888/rtp/239.1.1.12:8012
CCTV5+,http://121.27.124.21:3488/rtp/239.253.92.82:8013
CCTV5+,http://121.29.169.49:2083/rtp/239.253.92.82:8013
CCTV5+,http://110.253.49.92:8686/rtp/239.253.92.82:8013
CCTV5+,http://49.85.119.109:8887/rtp/239.49.8.18:9610
CCTV5+,http://121.232.159.212:8188/rtp/239.49.8.18:9610
CCTV5+,http://117.86.51.89:8888/rtp/239.49.8.18:9610
CCTV5+,http://115.197.136.82:8888/rtp/233.50.201.220:5140
CCTV5+,http://115.207.208.222:8881/rtp/233.50.201.220:5140
CCTV5+,http://202.102.201.244:40022/rtp/238.1.78.237:7768
CCTV5+,http://171.109.20.22:4566/rtp/239.81.0.101:4056
CCTV5+,http://180.140.176.179:40222/rtp/239.81.0.101:4056
CCTV5+,http://116.9.4.13:4000/rtp/239.81.0.101:4056
CCTV5+,http://27.10.212.233:8002/rtp/225.0.4.73:7980
CCTV5+,http://182.138.203.83:8888/rtp/239.93.1.36:8004
CCTV5+,http://222.212.84.190:54123/rtp/239.93.1.36:8004
cctv6,http://119.49.221.50:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6,http://139.209.37.241:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://60.187.246.93:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://123.159.35.24:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://58.19.38.162:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://163.142.186.56:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV6,http://111.193.239.245:9999/rtp/239.3.1.174:8001
CCTV6,http://1.70.182.81:61201/rtp/239.1.1.13:8013
CCTV6,http://123.174.106.183:8888/rtp/239.1.1.13:8013
CCTV6,http://121.27.124.21:3488/rtp/239.253.92.193:6058
CCTV6,http://121.29.169.49:2083/rtp/239.253.92.193:6058
CCTV6,http://110.253.49.92:8686/rtp/239.253.92.193:6058
CCTV6,http://49.85.119.109:8887/rtp/239.49.8.76:8000
CCTV6,http://121.232.159.212:8188/rtp/239.49.8.76:8000
CCTV6,http://117.86.51.89:8888/rtp/239.49.8.76:8000
CCTV6,http://115.197.136.82:8888/rtp/233.50.201.198:5140
CCTV6,http://202.102.201.244:40022/rtp/238.1.78.172:7248
CCTV6,http://171.109.20.22:4566/rtp/239.81.0.233:4056
CCTV6,http://180.140.176.179:40222/rtp/239.81.0.233:4056
CCTV6,http://14.145.217.126:8888/rtp/239.77.0.171:5146
CCTV6,http://14.145.217.126:8888/rtp/239.77.0.178:5146
cctv7,http://119.49.221.50:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV7,http://139.209.37.241:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://60.187.246.93:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://123.159.35.24:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://119.163.61.26:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV7,http://124.65.0.27:20000/rtp/239.3.1.61:8104
CCTV7,http://111.193.239.245:9999/rtp/239.3.1.61:8104
CCTV7,http://111.167.220.229:8086/rtp/225.1.1.138:5002
CCTV7,http://121.27.124.21:3488/rtp/239.253.92.194:6059
CCTV7,http://110.253.49.92:8686/rtp/239.253.92.194:6059
CCTV7,http://115.197.136.82:8888/rtp/233.50.201.120:5140
CCTV7,http://202.102.201.244:40022/rtp/238.1.78.239:7784
CCTV7,http://171.109.20.22:4566/rtp/239.81.0.116:4056
CCTV7,http://180.140.176.179:40222/rtp/239.81.0.116:4056
CCTV7,http://116.9.4.13:4000/rtp/239.81.0.116:4056
cctv8,http://119.49.221.50:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV8,http://139.209.37.241:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://60.187.246.93:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://123.159.35.24:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://58.19.38.162:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://163.142.186.56:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV8,http://124.65.0.27:20000/rtp/239.3.1.175:8001
CCTV8,http://111.193.239.245:9999/rtp/239.3.1.175:8001
CCTV8,http://60.26.183.69:6843/rtp/225.1.1.196:5002
CCTV8,http://111.167.220.229:8086/rtp/225.1.1.196:5002
CCTV8,http://117.13.25.76:8888/rtp/225.1.1.196:5002
CCTV8,http://123.174.106.183:8888/rtp/239.1.1.15:8015
CCTV8,http://121.27.124.21:3488/rtp/239.253.92.195:6060
CCTV8,http://49.85.119.109:8887/rtp/239.49.8.77:8000
CCTV8,http://121.232.159.212:8188/rtp/239.49.8.77:8000
CCTV8,http://117.86.51.89:8888/rtp/239.49.8.77:8000
